ageCode,
H,Holocene
Q,Quaternary
G,Neogene
P,Paleogene
Cz,Cenozoic
K,Cretaceous
J,Jurassic
T,Triassic
Mz,Mesozoic
Y,Permian
C,Carboniferous
D,Devonian
S,Silurian
O,Ordovician
E,Cambrian 
Pz,Paleozoic
N,Neoproterozoic
M,Mesoproterozoic
L,Paleoproterozoic
Rz,Proterozoic
