faultDescription
craton boundary (inactive)
fault (active)
fault (inactive)
fault (possibly active)
fault (probably active)
fault (probably inactive)
suture (inactive)
suture (possibly active)
"Note: descriptions can be modified by the addition of 'feature inferred';  eg. 'fault (probably inactive), feature inferred'"
